r (kpc)	vel (km/s)
0.24	37.3
0.28	37.9
0.46	47.1
0.64	53.5
0.73	55.1
0.82	58.5
1.08	66.2
1.22	69.4
1.45	74.6
1.71	77.9
1.87	81.7
2.20	86.8
2.28	90.1
2.69	94.4
2.70	95.4
3.12	99.2
3.18	98.7
3.53	101.3
3.66	101.5
4.15	106.3
4.64	109.4
5.13	108.8
5.62	107.3
6.11	108.2
6.60	109.8
7.09	110.1
7.57	111.1
8.06	113.0
8.55	113.9
9.04	115.1
9.53	116.3
10.02	119.1
10.51	121.0
10.99	121.5
11.48	118.6
11.97	118.7
12.46	117.2
12.95	116.2
13.44	118.3
13.93	119.0
14.41	121.3
14.90	121.4
15.39	120.3
15.88	121.9
16.37	126.3
16.86	126.3
17.35	127.2
17.84	126.2
18.32	124.2
18.81	127.2
19.30	120.2
19.79	121.8
20.28	136.0
20.77	128.3
21.26	127.4
21.74	120.1
22.23	112.2
22.72	119.6
